task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
32	3f/abf76a	2469	preseq (sample6AlignedByCoord.out)	CACHED	0	2018-04-10 15:44:17.581	8m	8m	109.0%	17.7 MB	43.1 MB	2.3 GB	5.2 KB
23	44/a6f0b7	18118	stringtieFPKM (sample1AlignedByCoord.out)	CACHED	0	2018-04-10 15:17:52.215	3m 2s	3m 1s	111.0%	473.4 MB	580.8 MB	3.9 GB	509.3 MB
25	1e/1b370f	18076	featureCounts (sample1AlignedByCoord.out)	CACHED	0	2018-04-10 15:17:52.191	6m 19s	6m 19s	108.0%	153.1 MB	271.8 MB	14.4 GB	4.7 GB
31	f6/083f5b	31211	stringtieFPKM (sample6AlignedByCoord.out)	CACHED	0	2018-04-10 15:35:31.586	2m 56s	2m 56s	112.0%	480.8 MB	594.8 MB	3.7 GB	457.9 MB
22	f5/3d3af0	18096	markDuplicates (sample1AlignedByCoord.out)	CACHED	0	2018-04-10 15:17:52.202	16m 46s	16m 46s	589.0%	12.8 GB	20.3 GB	7.4 GB	2.2 GB
41	9c/1bffe4	21511	preseq (sample3AlignedByCoord.out)	CACHED	0	2018-04-10 16:21:43.601	8m 8s	8m 8s	110.0%	17.6 MB	43.1 MB	2.6 GB	5.1 KB
28	41/a25be6	28553	markDuplicates (sample6AlignedByCoord.out)	CACHED	0	2018-04-10 16:39:36.216	15m 52s	15m 52s	390.0%	12.8 GB	20.3 GB	7 GB	2 GB
30	75/4d5998	15390	genebody_coverage (sample6AlignedByCoord.out)	CACHED	0	2018-04-10 16:50:43.084	1h 9m 19s	1h 9m 18s	114.7%	9.4 GB	11.2 GB	359.8 GB	9.2 GB
43	55/0c9072	55236	stringtieFPKM (sample3AlignedByCoord.out)	CACHED	0	2018-04-10 16:29:51.893	2m 45s	2m 45s	111.0%	425.5 MB	513.1 MB	3.9 GB	465.5 MB
40	55/33035e	63197	featureCounts (sample3AlignedByCoord.out)	CACHED	0	2018-04-10 16:15:42.949	6m 1s	6m 1s	115.0%	149.9 MB	271.8 MB	14.8 GB	5 GB
38	7b/f4e3fd	26650	preseq (sample5AlignedByCoord.out)	CACHED	0	2018-04-10 16:06:47.067	8m 56s	8m 56s	99.6%	17.9 MB	43.1 MB	2.9 GB	276.6 KB
52	c3/292b64	62789	featureCounts (sample2AlignedByCoord.out)	CACHED	0	2018-04-10 17:00:08.321	4m 40s	4m 40s	105.0%	150.8 MB	271.8 MB	12.2 GB	3.7 GB
42	86/362c0c	40008	markDuplicates (sample3AlignedByCoord.out)	CACHED	0	2018-04-10 16:55:28.260	16m 27s	16m 27s	521.0%	13 GB	20.3 GB	7.8 GB	2.3 GB
36	d9/eddc8c	34063	genebody_coverage (sample5AlignedByCoord.out)	CACHED	0	2018-04-10 16:54:25.143	1h 1m 33s	1h 1m 33s	113.6%	12.1 GB	16.7 GB	365.3 GB	11.7 GB
56	aa/9404a5	20186	stringtieFPKM (sample2AlignedByCoord.out)	CACHED	0	2018-04-10 17:04:48.246	3m 4s	3m 4s	110.0%	428.1 MB	518.8 MB	3.3 GB	557.8 MB
51	b5/cefbf6	25519	genebody_coverage (sample2AlignedByCoord.out)	CACHED	0	2018-04-10 19:05:47.760	59m 17s	59m 17s	121.6%	7.4 GB	7.5 GB	383.3 GB	7.2 GB
34	50/3b97d7	49568	stringtieFPKM (sample5AlignedByCoord.out)	CACHED	0	2018-04-10 15:56:25.276	3m 16s	3m 16s	111.0%	446.5 MB	552.4 MB	4.3 GB	509 MB
49	31/ad4b6f	22940	preseq (sample4AlignedByCoord.out)	CACHED	0	2018-04-10 16:38:11.959	9m 21s	9m 16s	99.5%	12.6 MB	38.2 MB	2.8 GB	6.2 KB
48	1e/02c853	44912	markDuplicates (sample4AlignedByCoord.out)	CACHED	0	2018-04-10 17:10:31.624	18m 18s	18m 18s	622.0%	9.7 GB	20.3 GB	8.2 GB	2.4 GB
37	2e/f1df3c	62790	featureCounts (sample5AlignedByCoord.out)	CACHED	0	2018-04-10 15:59:40.893	7m 6s	7m 6s	176.0%	152.5 MB	271.8 MB	16.4 GB	5.8 GB
53	f1/982122	30642	preseq (sample2AlignedByCoord.out)	CACHED	0	2018-04-10 16:53:40.950	6m 27s	6m 27s	100.0%	17.6 MB	43.2 MB	2 GB	4.5 KB
50	52/c19e27	65287	featureCounts (sample4AlignedByCoord.out)	CACHED	0	2018-04-10 16:47:32.513	6m 8s	6m 8s	143.0%	163.2 MB	271.8 MB	15.6 GB	5.3 GB
54	5e/24d194	50887	markDuplicates (sample2AlignedByCoord.out)	CACHED	0	2018-04-10 17:11:55.698	11m 39s	11m 39s	665.0%	9.2 GB	20.3 GB	5.8 GB	1.7 GB
44	c6/2082ae	55412	genebody_coverage (sample3AlignedByCoord.out)	CACHED	0	2018-04-10 18:00:01.626	1h 1m 44s	1h 1m 44s	122.4%	10.1 GB	11.2 GB	355.8 GB	9.9 GB
33	9f/1ec5ed	15418	markDuplicates (sample5AlignedByCoord.out)	CACHED	0	2018-04-10 16:50:43.100	19m 49s	19m 48s	621.0%	13.6 GB	20.3 GB	8.9 GB	2.6 GB
47	8d/7fce6a	12115	genebody_coverage (sample4AlignedByCoord.out)	CACHED	0	2018-04-10 18:04:15.988	1h 7m 7s	1h 7m 7s	120.7%	10.7 GB	11.2 GB	355.5 GB	10.7 GB
58	fc/a6235d	33970	merge_featureCounts (sample1AlignedByCoord.out_gene.featureCounts)	CACHED	0	2018-04-10 17:07:52.706	2.5s	2.5s	24.0%	18.1 MB	42.5 MB	21.9 MB	69 B
45	18/21762c	9400	stringtieFPKM (sample4AlignedByCoord.out)	CACHED	0	2018-04-10 16:34:57.760	3m 14s	3m 14s	111.0%	420.2 MB	512.6 MB	4.1 GB	563.1 MB
59	a1/d3fc57	56368	sample_correlation (sample1.sortedByCoord.out_gene.featureCounts.txt)	CACHED	0	2018-04-10 17:28:49.205	4.7s	4.6s	0.0%	40.1 MB	133.9 MB	4.4 MB	372 B
25	55/08329b	3466	rseqc (sample1AlignedByCoord.out)	FAILED	1	2018-04-16 17:06:39.007	4m 27s	4m 27s	112.0%	108.8 MB	271 MB	5 GB	2.8 MB
52	09/4bb61d	3457	rseqc (sample4AlignedByCoord.out)	FAILED	1	2018-04-16 17:06:38.943	5m 19s	5m 19s	101.0%	118.3 MB	280.7 MB	5.6 GB	2.8 MB
40	20/625819	3449	rseqc (sample5AlignedByCoord.out)	FAILED	1	2018-04-16 17:06:38.862	5m 41s	5m 41s	100.0%	117.8 MB	279.8 MB	5.9 GB	2.8 MB
44	dd/09576d	27610	rseqc (sample2AlignedByCoord.out)	FAILED	1	2018-04-16 17:11:58.363	3m 27s	3m 27s	104.0%	107.7 MB	270.1 MB	3.9 GB	2.7 MB
30	e5/14a42b	23669	rseqc (sample6AlignedByCoord.out)	FAILED	1	2018-04-16 17:11:06.064	4m 32s	4m 32s	109.0%	117.1 MB	279.3 MB	4.7 GB	2.7 MB
